empresa,grupo_empresario,tipo,provincia,localidad,direccion,telefono,email,web,volumen_faena_cabezas,notas
ARGALL SRL,,Ambos,,,,,,,,"Sin datos de contacto disponibles"
BBE SA,,Ambos,,,,,,,,"Sin datos de contacto disponibles"
Bustos y Beltran SA,,Ambos,,,,,,,,"Sin datos de contacto disponibles"
Catter Meat SA,,Ambos,,,,,,,,"Sin datos de contacto disponibles"
Compañia Central Pampeana SA,,Ambos,,,,,,,,"Sin datos de contacto disponibles"
Conallison SA,,Ambos,,,,,,,,"Sin datos de contacto disponibles"
Industrias Frigoríficas Recreo SAIC,,Ambos,,,,,,,,"Sin datos de contacto disponibles"
Italmen SA,,Ambos,,,,,,,,"Sin datos de contacto disponibles"
Madeka SA,,Ambos,,,,,,,,"Sin datos de contacto disponibles"
Matadero y Frigorífico el Mercedino SA,,Ambos,,,,,,,,"Sin datos de contacto disponibles"
Pampa Compañía de Carnes SAS,,Ambos,,,,,,,,"Sin datos de contacto disponibles"
RUNFO SA,,Ambos,,,,,,,,"Sin datos de contacto disponibles"
Santa Giulia,,Ambos,,,,,,,,"Sin datos de contacto disponibles"
AZUL NATURAL BEEF SA,,Exportador,Buenos Aires,,,,,,,
Arre Beef SA,,Exportador,Buenos Aires,Pérez Millán,Río Paraná 901,+54 3329 492063,,arrebeef.com,311000,Of. Comercio Ext: Lola Mora 421 T1 Of.902 Puerto Madero. +100 años. Planta biogás
COTO CICSA,Coto,Ambos,Buenos Aires,La Matanza,José E. Rodó 6615,011-4687-7800 / 0800-888-4848,info@coto.com.ar,coto.com.ar,,Plantas en Buenos Aires y Rosario. Exporta a UE China Chile
Compañía Bernal SA,,Exportador,Buenos Aires,Bernal Oeste,Comandante Franco 4901,+54 11 6311-6510,info@ciaber.com,companiabernal.com.ar,,Exporta a +30 países. Marcas: Finexcor Ciaber Sierras Argentinas. +60 años
Ecocarnes SA (ex-Cocarsa),Grupo Lequio,Exportador,Buenos Aires,,,,,,,
FRIGOLAR SA,,Ambos,Buenos Aires,La Plata,Av. 520 y 214 Abasto,0221-491-3128 / 0221-491-3370,info@frigolar-sa.com,frigolar.com.ar,,Empresa familiar +50 años. Lun-Vie 8-16hs
FRIMSA SA,,Ambos,Buenos Aires,Escobar,San Isidro S/N esq. Jujuy,+54 9 2644 56 0414,frimsa@frimsa.com.ar,frimsa.com.ar,,Cap. 1500 cab/día. Fundada 1991. Mayorista de carnes
Frigorífico Federal SA,,Ambos,Buenos Aires,Quilmes Oeste,Dr. Emilio Torre 1349-1399,+54 11 4372-6930,ventas@frigorificofederal.com,frigorificofederal.com,,Exporta a UE China Rusia. Ubicado en Quilmes Oeste (no Entre Ríos)
Frigorífico Gorina SAIC,Gorina,Exportador,Buenos Aires,La Plata,Calle 501 s/n entre 156 y 157,+54 221 445-3280,plantalaplata@friggorina.com,friggorina.com,,Principal exportador bovino de Argentina. Of. export: Av. Leandro N. Alem 815 Piso 6 BA
Frigorífico Gral Las Heras SA,,Ambos,Buenos Aires,Las Heras,,,,,,
Frigorífico Rioplatense SAICIF,Costantini,Exportador,Buenos Aires,General Pacheco,Av. de los Constituyentes 2801,+54 11 4006-2500,contact@rioplatense.com,rioplatense.com,,Capacidad 1800 cab/día. Cert. BRC. Exporta a EEUU y UE. 720 empleados
Frigorífico SADA,,Ambos,Buenos Aires,San Miguel,,011-3575-9721,ventas@frigorificosada.com.ar,frigorificosada.com.ar,,
Frigorífico Alberdi SA,Grupo Lequio,Exportador,Entre Ríos,,,0343-497-5070,info@falberdi.com,falberdi.com,,
Frigorífico Argentina Alimentos,,Ambos,Entre Ríos,Gualeguay,,+54 9 3444 580511,contacto@frigorificoargentinaalimentos.com,,,
Frigorífico La Morena,,Ambos,Entre Ríos,Gualeguaychú,,+54 9 3446 575782,info@frigorificolamorena.com.ar,,,
Carnes Pampeanas SA,Grupo Lequio,Exportador,La Pampa,,,,,,,
