date,clicks,impressions,ctr,position
2026-03-06,1,23,4.3478,15.78
2026-03-07,0,9,0.0000,13.22
2026-03-08,0,13,0.0000,16.31
2026-03-09,0,24,0.0000,13.17
2026-03-10,2,56,3.5714,7.27
2026-03-11,5,116,4.3103,6.66
2026-03-12,9,144,6.2500,6.84
2026-03-13,8,174,4.5977,8.49
2026-03-14,3,121,2.4793,7.92
2026-03-15,5,137,3.6496,6.47
2026-03-16,14,477,2.9350,6.62
2026-03-17,17,551,3.0853,6.54
2026-03-18,26,693,3.7518,6.38
2026-03-19,15,671,2.2355,7.22
2026-03-20,19,1615,1.1765,6.50
2026-03-21,17,1054,1.6129,6.41
2026-03-22,8,584,1.3699,5.94
2026-03-23,14,880,1.5909,6.35
2026-03-24,11,891,1.2346,6.76
2026-03-25,24,1010,2.3762,6.53
2026-03-26,27,802,3.3666,6.47
2026-03-27,18,937,1.9210,6.38
2026-03-28,14,484,2.8926,7.06
2026-03-29,14,408,3.4314,7.52
2026-03-30,21,1171,1.7933,6.84
2026-03-31,21,1207,1.7399,6.76
2026-04-01,15,1046,1.4340,7.30
2026-04-02,11,389,2.8278,6.86
2026-04-03,6,312,1.9231,7.43
2026-04-04,5,395,1.2658,7.23
2026-04-05,12,371,3.2345,6.90
2026-04-06,27,1202,2.2463,6.12
2026-04-07,21,1148,1.8293,6.30
2026-04-08,23,1105,2.0814,6.22
2026-04-09,24,954,2.5157,6.48
2026-04-10,22,834,2.6379,6.60
2026-04-11,6,318,1.8868,6.86
2026-04-12,7,299,2.3411,6.98
2026-04-13,16,967,1.6546,6.41
2026-04-14,23,970,2.3711,6.70
2026-04-15,21,914,2.2976,6.52
2026-04-16,14,912,1.5351,6.37
2026-04-17,11,586,1.8771,6.65
2026-04-18,5,294,1.7007,6.91
2026-04-19,12,266,4.5113,6.32
2026-04-20,16,664,2.4096,6.00
2026-04-21,16,696,2.2989,6.46
2026-04-22,7,597,1.1725,6.50
2026-04-23,8,615,1.3008,6.64
2026-04-24,11,567,1.9400,6.91
2026-04-25,5,223,2.2422,7.10
2026-04-26,3,238,1.2605,5.28
2026-04-27,18,562,3.2028,6.12
2026-04-28,18,638,2.8213,6.04
2026-04-29,16,717,2.2315,6.54
2026-04-30,24,614,3.9088,5.90
2026-05-01,7,263,2.6616,6.32
2026-05-02,7,347,2.0173,6.56
2026-05-03,10,276,3.6232,6.30
2026-05-04,11,751,1.4647,6.08
2026-05-05,13,738,1.7615,6.01
2026-05-06,24,818,2.9340,6.15
2026-05-07,21,735,2.8571,5.98
2026-05-08,17,726,2.3416,5.95
2026-05-09,9,337,2.6706,6.22
2026-05-10,8,274,2.9197,6.41
2026-05-11,33,841,3.9239,5.82
2026-05-12,21,664,3.1627,5.69
2026-05-13,17,771,2.2049,5.89
2026-05-14,18,797,2.2585,5.97
2026-05-15,15,768,1.9531,6.26
2026-05-16,14,708,1.9774,7.26
2026-05-17,13,780,1.6667,7.30
2026-05-18,25,1438,1.7385,7.07
2026-05-19,23,1353,1.6999,7.37
