date,page,clicks,impressions,ctr,position
2026-03-06,https://www.consignatarias.com.ar/frigorificos,1,19,5.2632,17.53
2026-03-06,https://consignatarias.com.ar/,0,3,0.0000,6.67
2026-03-06,https://www.consignatarias.com.ar/mercado,0,1,0.0000,10.00
2026-03-07,https://consignatarias.com.ar/,0,2,0.0000,6.00
2026-03-07,https://www.consignatarias.com.ar/frigorificos,0,7,0.0000,15.29
2026-03-08,https://consignatarias.com.ar/,0,4,0.0000,2.25
2026-03-08,https://www.consignatarias.com.ar/frigorificos,0,9,0.0000,22.56
2026-03-09,https://www.consignatarias.com.ar/,0,5,0.0000,6.20
2026-03-09,https://www.consignatarias.com.ar/frigorificos,0,19,0.0000,15.00
2026-03-10,https://www.consignatarias.com.ar/frigorificos,1,28,3.5714,10.29
2026-03-10,https://www.consignatarias.com.ar/remates/cordoba,1,7,14.2857,3.71
2026-03-10,https://www.consignatarias.com.ar/,0,12,0.0000,2.42
2026-03-10,https://www.consignatarias.com.ar/consignatarias,0,8,0.0000,3.38
2026-03-10,https://www.consignatarias.com.ar/consignatarias/campos-y-ganados,0,2,0.0000,7.00
2026-03-10,https://www.consignatarias.com.ar/consignatarias/ferias-rodeo-huinca,0,2,0.0000,6.50
2026-03-10,https://www.consignatarias.com.ar/consignatarias/ganados-remates,0,2,0.0000,5.00
2026-03-10,https://www.consignatarias.com.ar/consignatarias/hk-agro,0,1,0.0000,8.00
2026-03-10,https://www.consignatarias.com.ar/consignatarias/la-ganadera,0,4,0.0000,7.00
2026-03-10,https://www.consignatarias.com.ar/consignatarias/reggi,0,1,0.0000,6.00
2026-03-10,https://www.consignatarias.com.ar/consignatarias/rosgan,0,1,0.0000,5.00
2026-03-10,https://www.consignatarias.com.ar/quienes-somos,0,3,0.0000,3.33
2026-03-10,https://www.consignatarias.com.ar/remates/santa-fe,0,1,0.0000,9.00
2026-03-11,https://www.consignatarias.com.ar/,1,2,50.0000,5.00
2026-03-11,https://www.consignatarias.com.ar/consignatarias,1,8,12.5000,4.13
2026-03-11,https://www.consignatarias.com.ar/consignatarias/j-s-russo,1,3,33.3333,4.33
2026-03-11,https://www.consignatarias.com.ar/consignatarias/javier-ulises-avalos,1,1,100.0000,3.00
2026-03-11,https://www.consignatarias.com.ar/frigorificos,1,33,3.0303,7.15
2026-03-11,https://consignatarias.com.ar/,0,1,0.0000,10.00
2026-03-11,https://www.consignatarias.com.ar/consignatarias/campos-y-ganados,0,24,0.0000,7.46
2026-03-11,https://www.consignatarias.com.ar/consignatarias/darwash,0,1,0.0000,6.00
2026-03-11,https://www.consignatarias.com.ar/consignatarias/ferias-rauch,0,2,0.0000,5.00
2026-03-11,https://www.consignatarias.com.ar/consignatarias/ganaderos-de-elordi,0,2,0.0000,11.00
2026-03-11,https://www.consignatarias.com.ar/consignatarias/ganaderos-de-formosa,0,2,0.0000,7.50
2026-03-11,https://www.consignatarias.com.ar/consignatarias/herrero-hnos,0,1,0.0000,8.00
2026-03-11,https://www.consignatarias.com.ar/consignatarias/la-ganadera,0,1,0.0000,1.00
2026-03-11,https://www.consignatarias.com.ar/consignatarias/pepa-knubel-ferrero,0,1,0.0000,4.00
2026-03-11,https://www.consignatarias.com.ar/consignatarias/raul-mendizabal,0,1,0.0000,9.00
2026-03-11,https://www.consignatarias.com.ar/consignatarias/reggi,0,19,0.0000,6.58
